NHRC-4 Repeater Controller,,,,,,,,,,NHRC Repeater Controllers
Bill of Materials,,,,,,,,,,444 Micol Road
"Revised: Wednesday, January 07, 1998",,,,,,,,,,"Pembroke, NH 03275"
Revision: B,,,,,,,,,,603-485-2248
,,,,,,,,,,
Item,Qty.,Ref.,Schematic Value,,Description,Mfg.,Mfg. P/N,Digi-Key P/N, Unit Cost ,Notes
37,1,,,,NHRC-4 PCB,NHRC,NHRC-4PCB,N/A,,see note 1
38,2,,,,18 Pin DIP Socket,AMP,2-640359-3,A9318-ND, $0.10 ,use at U3/U4
39,1,,,,14 Pin DIP Socket,AMP,2-640357-3,A9314-ND, $0.07 ,use at U1
40,1,,,,"8 Circuit Housing, .100"" w/ lock and polarizer",Molex,22-01-3087,WM2006-ND, $0.57 ,mate for J1
41,2,,,,"6 Circuit Housing, .100"" w/ lock and polarizer",Molex,22-01-3067,WM2004-ND, $0.42 ,mate for J2/J3
42,2,,,,"4 Circuit Housing, .100"" w/ lock and polarizer",Molex,22-01-3047,WM2002-ND, $0.29 ,mate for J4/J5
43,28,,,,Crimp Terminal for Molex Housing,Molex,08-50-0114,WM2200-ND, $0.11 ,
44,5,,,,Shorting Jumpers,3M,929950-00-I,929950-00-ND, $0.10 ,"for JP1-3, J4/5"
Other Notes:,,,"1. U1, U3, U4 (Programmed) and PCB are included w/ the NHRC-4 kit.",,,,,,,
,,,2. Optional: do not populate part if deemphasis is NOT required.,,,,,,,
,,,3. Optional: use 100K part if deemphasis is NOT required.,,,,,,,
